WELL,DEPTH_MD,X_LOC,Y_LOC,Z_LOC,GROUP,FORMATION,CALI,RSHA,RMED,RDEP,GR,SGR,NPHI,DTC,SP,BS,ROP,DTS,DCAL,DRHO,MUDWEIGHT,RMIC,ROPA,RXO,FORCE_2020_LITHOFACIES_LITHOLOGY,FORCE_2020_LITHOFACIES_CONFIDENCE,Well_ID,Date,Oil_volume,Liquid_volume,Gas_volume,Water_volume,Water_cut,Working_hours,Dynamic_level,Reservoir_pressure
15/9-23,1526.488,433906.84375,6460000.5,-1501.449219,HORDALAND GP.,Skade Fm.,13.787041664,-9999.0,0.9010447264,0.8417683244,116.59666443,-9999.0,0.5809418559,147.07972717,-9999.0,12.250000954,96.234420776,324.60427856,1.5370426178,0.1620413065,-9999.0,-9999.0,122.39443207,-9999.0,65000.0,3.0,15_9-23,2013-02-24,44,73,11889,29,38,24,1838,212
15/9-23,1526.64,433906.84375,6460000.5,-1501.601196,HORDALAND GP.,Skade Fm.,13.627707481,-9999.0,0.8907729983,0.8358919024,117.18875122,-9999.0,0.5883946419,149.68182373,-9999.0,12.250000954,91.465194702,318.20443726,1.3777077198,0.1696770042,-9999.0,-9999.0,129.30871582,-9999.0,65000.0,3.0,15_9-23,2013-02-25,44,73,11889,29,38,24,1843,212
15/9-23,1526.792,433906.84375,6460000.5,-1501.753174,HORDALAND GP.,Skade Fm.,13.501793861,-9999.0,0.88209939,0.8332997561,119.03518677,-9999.0,0.4903949499,151.13000488,-9999.0,12.250000954,79.539520264,315.17318726,1.2517949343,0.1622992754,-9999.0,-9999.0,136.2230072,-9999.0,65000.0,1.0,15_9-23,2013-02-26,48,74,12829,26,34,24,1854,212
15/9-23,1526.944,433906.84375,6460000.5,-1501.905151,HORDALAND GP.,Skade Fm.,13.404415131,-9999.0,0.8709246516,0.8292090893,114.92149353,-9999.0,0.3922169805,148.03544617,-9999.0,12.250000954,90.319969177,315.93029785,1.1544151306,0.1481313109,-9999.0,-9999.0,143.13729858,-9999.0,65000.0,1.0,15_9-23,2013-02-27,48,74,12829,26,34,24,1877,212
15/9-23,1527.096,433906.84375,6460000.5,-1502.057129,HORDALAND GP.,Skade Fm.,13.390968323,-9999.0,0.8594604731,0.8127867579,113.00319672,-9999.0,0.3909057677,146.12910461,-9999.0,12.250000954,100.9835434,323.06863403,1.1409699917,0.1500894725,-9999.0,-9999.0,138.92036438,-9999.0,65000.0,1.0,15_9-23,2013-02-28,47,73,12656,26,34,24,1939,212
15/9-23,1527.248,433906.84375,6460000.5,-1502.209229,HORDALAND GP.,Skade Fm.,13.593963623,-9999.0,0.8521549106,0.8037676215,122.40926361,-9999.0,0.3905030191,144.29727173,-9999.0,12.250000954,116.90605927,332.93609619,1.3439617157,0.1689571291,-9999.0,-9999.0,128.21025085,-9999.0,65000.0,1.0,15_9-23,2013-03-01,44,73,11889,29,38,24,1843,212
15/9-23,1527.4,433906.875,6460000.5,-1502.361206,HORDALAND GP.,Skade Fm.,13.841768265,-9999.0,0.8452674747,0.8008283973,117.91269684,-9999.0,0.3985208273,143.87680054,-9999.0,12.250000954,117.30299377,322.52606201,1.5917688608,0.1726648062,-9999.0,-9999.0,117.50011444,-9999.0,65000.0,1.0,15_9-23,2013-03-02,44,73,11889,29,38,24,1849,212
15/9-23,1527.552,433906.875,6460000.5,-1502.513184,HORDALAND GP.,Skade Fm.,13.956837654,-9999.0,0.858823061,0.8038602471,123.24890137,-9999.0,0.4294986427,143.3394928,-9999.0,12.250000954,90.144760132,322.57516479,1.7068370581,0.1777345985,-9999.0,-9999.0,106.78998566,-9999.0,65000.0,1.0,15_9-23,2013-03-03,45,73,12080,28,37,24,1861,212
15/9-23,1527.704,433906.875,6460000.5,-1502.665161,HORDALAND GP.,Skade Fm.,13.923336029,-9999.0,0.9094274044,0.8053773642,122.84889984,-9999.0,0.4615156353,142.26989746,-9999.0,12.250000954,67.952484131,331.51843262,1.6733357906,0.1800652891,-9999.0,-9999.0,96.079864502,-9999.0,65000.0,1.0,15_9-23,2013-03-04,45,73,12080,28,37,24,1832,212
15/9-23,1527.856,433906.875,6460000.5,-1502.817017,HORDALAND GP.,Skade Fm.,13.91690731,-9999.0,0.8833950162,0.8301430941,130.34532166,-9999.0,0.4350968301,142.23620605,-9999.0,12.250000954,54.44733429,329.13711548,1.6669088602,0.1724414378,-9999.0,-9999.0,85.369735718,-9999.0,65000.0,1.0,15_9-23,2013-03-05,46,75,12411,29,37,24,1831,212
